Rk,Team,Date,PTS,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
135,LAC,2023-02-04,134,@,NYK,W 134-128 (OT),265,44,92,.478,28,55,.509,16,37,.432,30,35,.857,134,45,94,.479,27,54,.500,18,40,.450,20,26,.769,128
136,DEN,2023-02-02,134,,GSW,W 134-117,240,51,90,.567,35,55,.636,16,35,.457,16,21,.762,134,43,85,.506,24,47,.511,19,38,.500,12,19,.632,117
137,POR,2023-01-25,134,,UTA,W 134-124,240,51,89,.573,34,53,.642,17,36,.472,15,18,.833,134,47,90,.522,27,49,.551,20,41,.488,10,15,.667,124
138,DEN,2023-01-20,134,,IND,W 134-111,240,51,83,.614,37,55,.673,14,28,.500,18,26,.692,134,37,84,.440,29,52,.558,8,32,.250,29,37,.784,111
139,SAC,2023-01-07,134,,LAL,L 134-136,240,45,86,.523,31,54,.574,14,32,.438,30,37,.811,134,50,82,.610,41,61,.672,9,21,.429,27,33,.818,136
140,CHI,2023-01-02,134,@,CLE,L 134-145 (OT),265,47,95,.495,37,62,.597,10,33,.303,30,34,.882,134,48,92,.522,32,46,.696,16,46,.348,33,45,.733,145
141,CHO,2022-12-23,134,@,LAL,W 134-130,240,52,94,.553,36,53,.679,16,41,.390,14,18,.778,134,48,92,.522,29,48,.604,19,44,.432,15,22,.682,130
142,SAC,2022-12-21,134,,LAL,W 134-120,240,48,95,.505,31,48,.646,17,47,.362,21,28,.750,134,42,84,.500,31,60,.517,11,24,.458,25,30,.833,120
143,CHO,2022-12-14,134,,DET,L 134-141 (OT),265,47,114,.412,30,63,.476,17,51,.333,23,29,.793,134,48,93,.516,30,53,.566,18,40,.450,27,36,.750,141
144,BOS,2022-11-30,134,,MIA,W 134-121,240,46,83,.554,24,38,.632,22,45,.489,20,23,.870,134,47,90,.522,29,50,.580,18,40,.450,9,9,1.000,121
145,UTA,2022-11-18,134,,PHO,W 134-133,240,51,91,.560,35,60,.583,16,31,.516,16,24,.667,134,49,94,.521,40,64,.625,9,30,.300,26,28,.929,133
146,HOU,2022-11-07,134,@,ORL,W 134-127,240,46,87,.529,22,39,.564,24,48,.500,18,25,.720,134,45,82,.549,33,57,.579,12,25,.480,25,31,.806,127
147,NYK,2022-10-26,134,,CHO,W 134-131 (OT),265,52,97,.536,41,67,.612,11,30,.367,19,22,.864,134,49,99,.495,36,68,.529,13,31,.419,20,30,.667,131
148,MIN,2022-10-26,134,,SAS,W 134-122,240,52,80,.650,32,46,.696,20,34,.588,10,16,.625,134,43,95,.453,27,59,.458,16,36,.444,20,22,.909,122
149,PHO,2022-10-25,134,,GSW,W 134-105,240,47,92,.511,35,63,.556,12,29,.414,28,34,.824,134,41,91,.451,31,56,.554,10,35,.286,13,17,.765,105
